"Participant","Version","Response","Condition","Scale","Statement","CA","Task","Item","FirstBlock"
18,"1",1,"CT","M","It is possible that John will stay at home.",1,"notalt",44,"couldalt"
18,"1",1,"CT","M","It is possible that the girl will sing a song. ",1,"notalt",45,"couldalt"
18,"1",0,"CF","S","Some of the photos have frames.",0,"notalt",31,"couldalt"
18,"1",1,"target","N","Three monkeys are in the zoo. ",NA,"notalt",46,"couldalt"
18,"1",0,"CF","M","It is certain that it will rain tomorrow.",0,"couldalt",15,"couldalt"
18,"1",0,"CF","S","All of the students went to the party. ",0,"couldalt",6,"couldalt"
18,"1",0,"CF","M","It is certain that it will snow today.",0,"notalt",41,"couldalt"
18,"1",1,"target","M","It is possible that the seed will grow.",NA,"notalt",39,"couldalt"
18,"1",0,"CT","S","Some of the cows have been milked.",1,"couldalt",7,"couldalt"
18,"1",0,"target","M","It is possible that the flower will blossom.",NA,"couldalt",12,"couldalt"
18,"1",1,"CT","M","It is possible that the boy will play the piano.",1,"couldalt",18,"couldalt"
18,"1",1,"CT","N","Three girls are dancing. ",1,"couldalt",25,"couldalt"
18,"1",1,"CT","N","Five ducks are swimming. ",1,"notalt",54,"couldalt"
18,"1",0,"CF","M","It is possible that Jane will get the work done.",0,"notalt",42,"couldalt"
18,"1",1,"CT","S","Some of the cookies have been baked. ",1,"notalt",36,"couldalt"
18,"1",0,"CT","S","Some of the cats have been fed. ",1,"notalt",34,"couldalt"
18,"1",1,"target","N","Five brands are on discount.",NA,"notalt",48,"couldalt"
18,"1",0,"prac","","Peter is short. ",0,"notalt",NA,"couldalt"
18,"1",1,"target","S","Some of the batteries are charged.",NA,"notalt",30,"couldalt"
18,"1",1,"target","N","Four paintings are on the wall. ",NA,"notalt",47,"couldalt"
18,"1",1,"CT","M","It is possible that the shop will be open on Sunday.",1,"couldalt",16,"couldalt"
18,"1",0,"CF","N","Three photos are black-and-white. ",0,"notalt",49,"couldalt"
18,"1",1,"CT","M","It is possible that Mary will attend the lecture.",1,"couldalt",17,"couldalt"
18,"1",0,"CF","S","Some of the plants have flowers. ",0,"couldalt",4,"couldalt"
18,"1",0,"target","N","Three horses are in the field.",NA,"couldalt",19,"couldalt"
18,"1",0,"CF","M","It is certain that the drug will kill the bacteria.",0,"notalt",40,"couldalt"
18,"1",1,"CT","N","Four cars are moving.",1,"notalt",53,"couldalt"
18,"1",1,"target","S","Some of the questions are easy. ",NA,"notalt",29,"couldalt"
19,"1",1,"CT","M","It is possible that John will stay at home.",1,"couldalt",44,"notalt"
19,"1",0,"CF","N","Four birds are flying. ",0,"notalt",23,"notalt"
19,"1",1,"target","S","Some of the children are smiling.",NA,"notalt",1,"notalt"
19,"1",1,"CF","N","Five books are new. ",0,"notalt",24,"notalt"
19,"1",1,"CT","N","Four balls are bouncing. ",1,"notalt",26,"notalt"
19,"1",1,"CT","M","It is possible that the tickets will be on sale.",1,"couldalt",43,"notalt"
19,"1",1,"CT","N","Three girls are dancing. ",1,"notalt",25,"notalt"
19,"1",0,"CF","S","All of the students went to the party. ",0,"notalt",5,"notalt"
19,"1",0,"CF","S","Some of the photos have frames.",0,"couldalt",31,"notalt"
19,"1",0,"target","N","Four chairs are in the room.",NA,"notalt",20,"notalt"
19,"1",0,"target","N","Four paintings are on the wall. ",NA,"couldalt",47,"notalt"
19,"1",0,"target","S","Some of the batteries are charged.",NA,"couldalt",30,"notalt"
19,"1",0,"CF","S","Some of the plants have flowers. ",0,"notalt",4,"notalt"
19,"1",0,"CF","S","All of the museums hosted exhibitions.",0,"notalt",6,"notalt"
19,"1",0,"CF","M","It is certain that it will snow today.",0,"couldalt",41,"notalt"
19,"1",0,"target","S","Some of the babies are sleeping. ",NA,"couldalt",28,"notalt"
19,"1",0,"target","S","Some of the questions are easy. ",NA,"couldalt",29,"notalt"
19,"1",1,"CT","M","It is possible that the girl will sing a song. ",1,"couldalt",45,"notalt"
19,"1",1,"CT","S","Some of the articles have been published. ",1,"couldalt",35,"notalt"
19,"1",1,"target","M","It is possible that Mary will come to the party.",NA,"notalt",10,"notalt"
19,"1",1,"prac","","The plant is dead",1,"couldalt",NA,"notalt"
19,"1",0,"target","S","Some of the exams are difficult.",NA,"notalt",2,"notalt"
19,"1",1,"target","S","Some of the assignments are finished.",NA,"notalt",3,"notalt"
19,"1",1,"target","M","It is possible that the train will arrive on time.",NA,"notalt",11,"notalt"
19,"1",1,"CT","S","Some of the cats have been fed. ",1,"couldalt",34,"notalt"
19,"1",1,"target","M","It is possible that the flower will blossom.",NA,"notalt",12,"notalt"
19,"1",0,"target","M","It is possible that the event will happen.",NA,"couldalt",38,"notalt"
19,"1",0,"target","M","It is possible that Leon will turn up tonight. ",NA,"couldalt",37,"notalt"
19,"1",1,"prac","","Peter has a spaniel.",1,"couldalt",NA,"notalt"
19,"1",1,"prac","","The cup is full.",1,"notalt",NA,"notalt"
19,"1",0,"target","N","Five films are on show. ",NA,"notalt",21,"notalt"
19,"1",0,"prac","","The card is yellow. ",0,"couldalt",NA,"notalt"
19,"1",0,"prac","","The window is open.",0,"couldalt",NA,"notalt"
19,"1",0,"target","N","Three horses are in the field.",NA,"notalt",19,"notalt"
19,"1",0,"prac","","Peter is short. ",0,"notalt",NA,"notalt"
19,"1",1,"CT","M","It is possible that Mary will attend the lecture.",1,"notalt",17,"notalt"
19,"1",1,"prac","","Peter lives in London.",1,"notalt",NA,"notalt"
19,"1",1,"CT","M","It is possible that the boy will play the piano.",1,"notalt",18,"notalt"
19,"1",0,"target","N","Five brands are on discount.",NA,"couldalt",48,"notalt"
19,"1",1,"CT","S","Some of the cookies have been baked. ",1,"couldalt",36,"notalt"
19,"1",0,"CF","M","It is certain that it will rain tomorrow.",0,"notalt",14,"notalt"
19,"1",1,"CT","N","Four cars are moving.",1,"couldalt",53,"notalt"
19,"1",0,"CT","S","Some of the files have been deleted.",1,"notalt",8,"notalt"
19,"1",0,"target","N","Three monkeys are in the zoo. ",NA,"couldalt",46,"notalt"
19,"1",0,"CF","N","Five pencils are sharp.",0,"couldalt",51,"notalt"
19,"1",1,"CT","N","Three boys are playing cards. ",1,"couldalt",52,"notalt"
19,"1",0,"CF","N","Three computers are broken.",0,"notalt",22,"notalt"
19,"1",1,"CT","N","Five ducks are swimming. ",1,"couldalt",54,"notalt"
19,"1",0,"CF","N","Three photos are black-and-white. ",0,"couldalt",49,"notalt"
19,"1",0,"CF","M","It is certain that the drug will kill the bacteria.",0,"couldalt",40,"notalt"
19,"1",0,"CF","S","All of the stores sold newspapers. ",0,"couldalt",33,"notalt"
19,"1",0,"CF","M","It is certain that the cat will eat the mouse.",0,"notalt",13,"notalt"
19,"1",0,"CF","M","It is possible that Peter will pass the exam.",0,"notalt",15,"notalt"
19,"1",1,"CT","N","Five dogs are barking.",1,"notalt",27,"notalt"
19,"1",1,"CT","S","Some of the products have been sold.",1,"notalt",9,"notalt"
19,"1",0,"CF","M","It is possible that Jane will get the work done.",0,"couldalt",42,"notalt"
19,"1",0,"target","M","It is possible that the seed will grow.",NA,"couldalt",39,"notalt"
19,"1",0,"CF","N","Four dogs are running.",0,"couldalt",50,"notalt"
19,"1",0,"CF","S","All of the teachers attended the meeting. ",0,"couldalt",32,"notalt"
19,"1",1,"CT","M","It is possible that the shop will be open on Sunday.",1,"notalt",16,"notalt"
19,"1",1,"CT","S","Some of the cows have been milked.",1,"notalt",7,"notalt"
19,"1",0,"prac","","The table is dirty.",0,"notalt",NA,"notalt"
2,"1",1,"target","M","It is possible that the event will happen.",NA,"notalt",38,"couldalt"
2,"1",1,"CT","N","Five dogs are barking.",1,"couldalt",27,"couldalt"
2,"1",0,"CF","M","It is certain that the cat will eat the mouse.",0,"couldalt",14,"couldalt"
2,"1",0,"CF","M","It is certain that the drug will kill the bacteria.",0,"notalt",40,"couldalt"
2,"1",0,"prac","","The window is open.",0,"couldalt",NA,"couldalt"
2,"1",1,"prac","","The cup is full.",1,"notalt",NA,"couldalt"
2,"1",0,"CF","S","All of the students went to the party. ",0,"couldalt",6,"couldalt"
2,"1",1,"target","M","It is possible that the seed will grow.",NA,"notalt",39,"couldalt"
2,"1",1,"prac","","The plant is dead",1,"couldalt",NA,"couldalt"
2,"1",0,"CT","M","It is possible that the shop will be open on Sunday.",1,"couldalt",16,"couldalt"
2,"1",0,"target","S","Some of the children are smiling.",NA,"couldalt",1,"couldalt"
2,"1",0,"CF","M","It is possible that Peter will pass the exam.",0,"couldalt",13,"couldalt"
2,"1",1,"target","S","Some of the babies are sleeping. ",NA,"notalt",28,"couldalt"
2,"1",0,"target","N","Five films are on show. ",NA,"couldalt",21,"couldalt"
2,"1",1,"target","N","Three monkeys are in the zoo. ",NA,"notalt",46,"couldalt"
2,"1",1,"CT","S","Some of the products have been sold.",1,"couldalt",9,"couldalt"
2,"1",1,"CT","N","Four cars are moving.",1,"notalt",53,"couldalt"
2,"1",1,"CT","N","Four balls are bouncing. ",1,"couldalt",26,"couldalt"
2,"1",0,"CF","S","Some of the plants have flowers. ",0,"couldalt",4,"couldalt"
2,"1",0,"CF","M","It is certain that it will snow today.",0,"notalt",41,"couldalt"
2,"1",1,"target","M","It is possible that Leon will turn up tonight. ",NA,"notalt",37,"couldalt"
2,"1",0,"target","N","Four chairs are in the room.",NA,"couldalt",20,"couldalt"
2,"1",0,"target","N","Four paintings are on the wall. ",NA,"notalt",47,"couldalt"
2,"1",1,"CT","N","Five ducks are swimming. ",1,"notalt",54,"couldalt"
2,"1",1,"CT","S","Some of the cats have been fed. ",1,"notalt",34,"couldalt"
2,"1",0,"target","M","It is possible that the flower will blossom.",NA,"couldalt",12,"couldalt"
2,"1",1,"CT","M","It is possible that the tickets will be on sale.",1,"notalt",43,"couldalt"
2,"1",0,"CF","M","It is possible that Jane will get the work done.",0,"notalt",42,"couldalt"
2,"1",0,"CF","N","Four birds are flying. ",0,"couldalt",23,"couldalt"
2,"1",0,"CT","S","Some of the cows have been milked.",1,"couldalt",7,"couldalt"
2,"1",1,"CT","M","It is possible that the boy will play the piano.",1,"couldalt",18,"couldalt"
2,"1",1,"CT","N","Three boys are playing cards. ",1,"notalt",52,"couldalt"
2,"1",1,"CT","N","Three girls are dancing. ",1,"couldalt",25,"couldalt"
2,"1",0,"CF","S","All of the museums hosted exhibitions.",0,"couldalt",5,"couldalt"
2,"1",1,"CT","S","Some of the articles have been published. ",1,"notalt",35,"couldalt"
2,"1",0,"prac","","The card is yellow. ",0,"couldalt",NA,"couldalt"
2,"1",0,"CF","N","Four dogs are running.",0,"notalt",50,"couldalt"
2,"1",0,"CF","M","It is certain that it will rain tomorrow.",0,"couldalt",15,"couldalt"
2,"1",1,"CT","M","It is possible that John will stay at home.",1,"notalt",44,"couldalt"
2,"1",0,"CF","S","All of the stores sold newspapers. ",0,"notalt",33,"couldalt"
2,"1",0,"target","S","Some of the assignments are finished.",NA,"couldalt",3,"couldalt"
2,"1",0,"target","S","Some of the exams are difficult.",NA,"couldalt",2,"couldalt"
2,"1",0,"target","N","Five brands are on discount.",NA,"notalt",48,"couldalt"
2,"1",1,"target","S","Some of the batteries are charged.",NA,"notalt",30,"couldalt"
2,"1",0,"CF","N","Three computers are broken.",0,"couldalt",22,"couldalt"
2,"1",1,"target","S","Some of the questions are easy. ",NA,"notalt",29,"couldalt"
2,"1",1,"CT","S","Some of the cookies have been baked. ",1,"notalt",36,"couldalt"
2,"1",1,"CF","S","All of the teachers attended the meeting. ",0,"notalt",32,"couldalt"
2,"1",0,"prac","","The table is dirty.",0,"notalt",NA,"couldalt"
2,"1",0,"CF","N","Five books are new. ",0,"couldalt",24,"couldalt"
2,"1",1,"prac","","Peter has a spaniel.",1,"couldalt",NA,"couldalt"
2,"1",0,"prac","","Peter is short. ",0,"notalt",NA,"couldalt"
2,"1",0,"CF","N","Five pencils are sharp.",0,"notalt",51,"couldalt"
2,"1",0,"CF","N","Three photos are black-and-white. ",0,"notalt",49,"couldalt"
2,"1",0,"target","M","It is possible that the train will arrive on time.",NA,"couldalt",11,"couldalt"
2,"1",1,"CT","S","Some of the files have been deleted.",1,"couldalt",8,"couldalt"
2,"1",1,"CT","M","It is possible that Mary will attend the lecture.",1,"couldalt",17,"couldalt"
2,"1",0,"CT","M","It is possible that the girl will sing a song. ",1,"notalt",45,"couldalt"
2,"1",1,"CF","S","Some of the photos have frames.",0,"notalt",31,"couldalt"
2,"1",1,"prac","","Peter lives in London.",1,"notalt",NA,"couldalt"
2,"1",0,"target","N","Three horses are in the field.",NA,"couldalt",19,"couldalt"
2,"1",0,"target","M","It is possible that Mary will come to the party.",NA,"couldalt",10,"couldalt"
20,"1",1,"CT","S","Some of the cows have been milked.",1,"couldalt",7,"notalt"
20,"1",1,"prac","","Peter has a spaniel.",1,"couldalt",NA,"notalt"
20,"1",0,"prac","","The window is open.",0,"couldalt",NA,"notalt"
20,"1",1,"prac","","The plant is dead",1,"couldalt",NA,"notalt"
20,"1",0,"prac","","The table is dirty.",0,"notalt",NA,"notalt"
20,"1",0,"CF","S","All of the stores sold newspapers. ",0,"notalt",33,"notalt"
20,"1",1,"CT","N","Five ducks are swimming. ",1,"notalt",54,"notalt"
20,"1",0,"target","N","Four chairs are in the room.",NA,"couldalt",20,"notalt"
20,"1",0,"prac","","The card is yellow. ",0,"couldalt",NA,"notalt"
20,"1",1,"CT","N","Three boys are playing cards. ",1,"notalt",52,"notalt"
20,"1",0,"CT","S","Some of the cats have been fed. ",1,"notalt",34,"notalt"
20,"1",0,"CF","M","It is possible that Peter will pass the exam.",0,"couldalt",13,"notalt"
20,"1",1,"CT","N","Four cars are moving.",1,"notalt",53,"notalt"
20,"1",0,"target","S","Some of the children are smiling.",NA,"couldalt",1,"notalt"
20,"1",0,"prac","","The cup is full.",1,"notalt",NA,"notalt"
20,"1",0,"CF","N","Four dogs are running.",0,"notalt",50,"notalt"
20,"1",0,"CF","M","It is certain that the drug will kill the bacteria.",0,"notalt",40,"notalt"
20,"1",1,"target","M","It is possible that the seed will grow.",NA,"notalt",39,"notalt"
20,"1",0,"CT","M","It is possible that the girl will sing a song. ",1,"notalt",45,"notalt"
20,"1",0,"CF","S","Some of the photos have frames.",0,"notalt",31,"notalt"
20,"1",0,"CF","N","Five pencils are sharp.",0,"notalt",51,"notalt"
20,"1",0,"target","M","It is possible that the flower will blossom.",NA,"couldalt",12,"notalt"
20,"1",0,"target","N","Five films are on show. ",NA,"couldalt",21,"notalt"
20,"1",1,"CT","M","It is possible that the tickets will be on sale.",1,"notalt",43,"notalt"
20,"1",1,"CT","S","Some of the articles have been published. ",1,"notalt",35,"notalt"
20,"1",0,"target","S","Some of the assignments are finished.",NA,"couldalt",3,"notalt"
20,"1",1,"target","N","Three monkeys are in the zoo. ",NA,"notalt",46,"notalt"
20,"1",0,"CF","S","All of the students went to the party. ",0,"couldalt",6,"notalt"
20,"1",1,"CT","M","It is possible that the boy will play the piano.",1,"couldalt",18,"notalt"
20,"1",0,"target","M","It is possible that the train will arrive on time.",NA,"couldalt",11,"notalt"
20,"1",0,"prac","","Peter is short. ",0,"notalt",NA,"notalt"
20,"1",1,"target","S","Some of the questions are easy. ",NA,"notalt",29,"notalt"
20,"1",1,"target","M","It is possible that the event will happen.",NA,"notalt",38,"notalt"
20,"1",0,"CF","M","It is certain that the cat will eat the mouse.",0,"couldalt",14,"notalt"
20,"1",0,"CF","M","It is certain that it will rain tomorrow.",0,"couldalt",15,"notalt"
20,"1",1,"CT","M","It is possible that Mary will attend the lecture.",1,"couldalt",17,"notalt"
20,"1",1,"target","S","Some of the babies are sleeping. ",NA,"notalt",28,"notalt"
20,"1",0,"CF","M","It is possible that Jane will get the work done.",0,"notalt",42,"notalt"
20,"1",1,"target","S","Some of the batteries are charged.",NA,"notalt",30,"notalt"
20,"1",1,"target","N","Five brands are on discount.",NA,"notalt",48,"notalt"
20,"1",0,"prac","","Peter lives in London.",1,"notalt",NA,"notalt"
20,"1",0,"CT","S","Some of the files have been deleted.",1,"couldalt",8,"notalt"
20,"1",0,"target","N","Four paintings are on the wall. ",NA,"notalt",47,"notalt"
20,"1",1,"CT","N","Four balls are bouncing. ",1,"couldalt",26,"notalt"
20,"1",0,"CF","N","Five books are new. ",0,"couldalt",24,"notalt"
20,"1",0,"CT","S","Some of the products have been sold.",1,"couldalt",9,"notalt"
20,"1",0,"CF","N","Three photos are black-and-white. ",0,"notalt",49,"notalt"
20,"1",0,"CF","M","It is certain that it will snow today.",0,"notalt",41,"notalt"
20,"1",0,"target","N","Three horses are in the field.",NA,"couldalt",19,"notalt"
20,"1",0,"target","S","Some of the exams are difficult.",NA,"couldalt",2,"notalt"
20,"1",0,"CF","N","Three computers are broken.",0,"couldalt",22,"notalt"
20,"1",0,"CF","S","All of the museums hosted exhibitions.",0,"couldalt",5,"notalt"
20,"1",1,"target","M","It is possible that Leon will turn up tonight. ",NA,"notalt",37,"notalt"
20,"1",0,"CF","N","Four birds are flying. ",0,"couldalt",23,"notalt"
20,"1",1,"CT","M","It is possible that John will stay at home.",1,"notalt",44,"notalt"
20,"1",1,"CT","M","It is possible that the shop will be open on Sunday.",1,"couldalt",16,"notalt"
20,"1",1,"CT","N","Three girls are dancing. ",1,"couldalt",25,"notalt"
20,"1",0,"CF","S","All of the teachers attended the meeting. ",0,"notalt",32,"notalt"
20,"1",0,"target","M","It is possible that Mary will come to the party.",NA,"couldalt",10,"notalt"
20,"1",1,"CT","N","Five dogs are barking.",1,"couldalt",27,"notalt"
20,"1",0,"CT","S","Some of the cookies have been baked. ",1,"notalt",36,"notalt"
20,"1",0,"CF","S","Some of the plants have flowers. ",0,"couldalt",4,"notalt"
21,"2",0,"prac","","Peter is short. ",0,"notalt",NA,"notalt"
21,"2",0,"prac","","The table is dirty.",0,"notalt",NA,"notalt"
21,"2",1,"CT","N","Three girls are dancing. ",1,"couldalt",25,"notalt"
21,"2",0,"target","N","Four chairs are in the room.",NA,"couldalt",20,"notalt"
21,"2",1,"CF","N","Three photos are black-and-white. ",0,"notalt",49,"notalt"
21,"2",1,"CF","N","Five pencils are sharp.",0,"notalt",51,"notalt"
21,"2",0,"target","N","Four paintings are on the wall. ",NA,"notalt",47,"notalt"
21,"2",0,"target","M","It is possible that the seed will grow.",NA,"notalt",39,"notalt"
21,"2",1,"target","N","Five brands are on discount.",NA,"notalt",48,"notalt"
21,"2",1,"CF","N","Four dogs are running.",0,"notalt",50,"notalt"
21,"2",1,"CT","S","Some of the articles have been published. ",1,"notalt",35,"notalt"
21,"2",0,"CF","M","It is certain that it will rain tomorrow.",0,"couldalt",15,"notalt"
21,"2",1,"CT","M","It is possible that John will stay at home.",1,"notalt",44,"notalt"
21,"2",1,"target","M","It is possible that the event will happen.",NA,"notalt",38,"notalt"
21,"2",1,"prac","","The card is yellow. ",0,"couldalt",NA,"notalt"
21,"2",1,"CT","N","Four balls are bouncing. ",1,"couldalt",26,"notalt"
21,"2",1,"CT","S","Some of the files have been deleted.",1,"couldalt",8,"notalt"
21,"2",1,"CT","M","It is possible that the shop will be open on Sunday.",1,"couldalt",16,"notalt"
21,"2",1,"prac","","The plant is dead",1,"couldalt",NA,"notalt"
21,"2",1,"target","M","It is possible that Leon will turn up tonight. ",NA,"notalt",37,"notalt"
21,"2",0,"CT","N","Five dogs are barking.",1,"couldalt",27,"notalt"
21,"2",0,"target","S","Some of the assignments are finished.",NA,"couldalt",3,"notalt"
21,"2",1,"CT","S","Some of the cookies have been baked. ",1,"notalt",36,"notalt"
21,"2",0,"CF","S","Some of the photos have frames.",0,"notalt",31,"notalt"
21,"2",1,"CF","S","All of the museums hosted exhibitions.",0,"couldalt",5,"notalt"
21,"2",1,"CT","N","Three boys are playing cards. ",1,"notalt",52,"notalt"
21,"2",1,"target","S","Some of the batteries are charged.",NA,"notalt",30,"notalt"
21,"2",0,"CF","M","It is certain that it will snow today.",0,"notalt",41,"notalt"
21,"2",0,"CF","S","Some of the plants have flowers. ",0,"couldalt",4,"notalt"
21,"2",0,"CT","M","It is possible that Mary will attend the lecture.",1,"couldalt",17,"notalt"
21,"2",1,"CT","M","It is possible that the boy will play the piano.",1,"couldalt",18,"notalt"
21,"2",1,"target","M","It is possible that Mary will come to the party.",NA,"couldalt",10,"notalt"
21,"2",0,"target","M","It is possible that the train will arrive on time.",NA,"couldalt",11,"notalt"
21,"2",0,"target","S","Some of the questions are easy. ",NA,"notalt",29,"notalt"
21,"2",0,"CT","M","It is possible that the girl will sing a song. ",1,"notalt",45,"notalt"
21,"2",1,"target","S","Some of the babies are sleeping. ",NA,"notalt",28,"notalt"
21,"2",1,"prac","","Peter lives in London.",1,"notalt",NA,"notalt"
21,"2",1,"CF","M","It is possible that Jane will get the work done.",0,"notalt",42,"notalt"
21,"2",0,"CF","S","All of the students went to the party. ",0,"couldalt",6,"notalt"
21,"2",0,"target","N","Three monkeys are in the zoo. ",NA,"notalt",46,"notalt"
21,"2",0,"target","N","Five films are on show. ",NA,"couldalt",21,"notalt"
21,"2",0,"CF","S","All of the stores sold newspapers. ",0,"notalt",33,"notalt"
21,"2",0,"CT","N","Five ducks are swimming. ",1,"notalt",54,"notalt"
21,"2",1,"CT","S","Some of the products have been sold.",1,"couldalt",9,"notalt"
21,"2",0,"CT","N","Four cars are moving.",1,"notalt",53,"notalt"
21,"2",0,"prac","","The cup is full.",1,"notalt",NA,"notalt"
21,"2",1,"CF","N","Four birds are flying. ",0,"couldalt",23,"notalt"
21,"2",1,"prac","","Peter has a spaniel.",1,"couldalt",NA,"notalt"
21,"2",1,"target","M","It is possible that the flower will blossom.",NA,"couldalt",12,"notalt"
21,"2",0,"target","S","Some of the exams are difficult.",NA,"couldalt",2,"notalt"
21,"2",1,"CT","S","Some of the cows have been milked.",1,"couldalt",7,"notalt"
21,"2",1,"CF","N","Three computers are broken.",0,"couldalt",22,"notalt"
21,"2",1,"CF","M","It is certain that the cat will eat the mouse.",0,"couldalt",14,"notalt"
21,"2",1,"prac","","The window is open.",0,"couldalt",NA,"notalt"
21,"2",0,"CF","S","All of the teachers attended the meeting. ",0,"notalt",32,"notalt"
21,"2",1,"CT","S","Some of the cats have been fed. ",1,"notalt",34,"notalt"
21,"2",1,"CF","M","It is certain that the drug will kill the bacteria.",0,"notalt",40,"notalt"
21,"2",0,"CT","M","It is possible that the tickets will be on sale.",1,"notalt",43,"notalt"
21,"2",1,"target","N","Three horses are in the field.",NA,"couldalt",19,"notalt"
21,"2",0,"CF","N","Five books are new. ",0,"couldalt",24,"notalt"
21,"2",0,"CF","M","It is possible that Peter will pass the exam.",0,"couldalt",13,"notalt"
21,"2",0,"target","S","Some of the children are smiling.",NA,"couldalt",1,"notalt"
22,"2",0,"prac","","The table is dirty.",0,"notalt",NA,"couldalt"
22,"2",1,"CT","N","Four balls are bouncing. ",1,"couldalt",26,"couldalt"
22,"2",1,"CT","S","Some of the articles have been published. ",1,"notalt",35,"couldalt"
22,"2",1,"CT","S","Some of the cookies have been baked. ",1,"notalt",36,"couldalt"
22,"2",0,"target","S","Some of the exams are difficult.",NA,"couldalt",2,"couldalt"
22,"2",0,"prac","","Peter is short. ",0,"notalt",NA,"couldalt"
22,"2",0,"target","M","It is possible that the flower will blossom.",NA,"couldalt",12,"couldalt"
22,"2",0,"target","S","Some of the children are smiling.",NA,"couldalt",1,"couldalt"
22,"2",0,"CF","M","It is certain that it will rain tomorrow.",0,"couldalt",15,"couldalt"
22,"2",1,"CT","M","It is possible that John will stay at home.",1,"notalt",44,"couldalt"
22,"2",0,"CF","N","Three computers are broken.",0,"couldalt",22,"couldalt"
22,"2",1,"target","S","Some of the batteries are charged.",NA,"notalt",30,"couldalt"
22,"2",1,"CF","S","All of the stores sold newspapers. ",0,"notalt",33,"couldalt"
22,"2",0,"CF","M","It is possible that Jane will get the work done.",0,"notalt",42,"couldalt"
22,"2",0,"CF","S","Some of the plants have flowers. ",0,"couldalt",4,"couldalt"
22,"2",1,"prac","","The cup is full.",1,"notalt",NA,"couldalt"
22,"2",0,"prac","","The window is open.",0,"couldalt",NA,"couldalt"
22,"2",1,"CT","M","It is possible that the boy will play the piano.",1,"couldalt",18,"couldalt"
22,"2",0,"target","N","Four chairs are in the room.",NA,"couldalt",20,"couldalt"
22,"2",0,"CF","S","All of the students went to the party. ",0,"couldalt",6,"couldalt"
22,"2",0,"CT","N","Three girls are dancing. ",1,"couldalt",25,"couldalt"
22,"2",1,"CT","M","It is possible that the tickets will be on sale.",1,"notalt",43,"couldalt"
22,"2",0,"CF","M","It is certain that the drug will kill the bacteria.",0,"notalt",40,"couldalt"
22,"2",1,"prac","","Peter has a spaniel.",1,"couldalt",NA,"couldalt"
22,"2",1,"CT","N","Four cars are moving.",1,"notalt",53,"couldalt"
22,"2",1,"prac","","The plant is dead",1,"couldalt",NA,"couldalt"
22,"2",0,"CF","M","It is certain that it will snow today.",0,"notalt",41,"couldalt"
22,"2",0,"prac","","The card is yellow. ",0,"couldalt",NA,"couldalt"
22,"2",1,"target","S","Some of the questions are easy. ",NA,"notalt",29,"couldalt"
22,"2",1,"target","M","It is possible that the seed will grow.",NA,"notalt",39,"couldalt"
22,"2",0,"CF","M","It is certain that the cat will eat the mouse.",0,"couldalt",14,"couldalt"
22,"2",1,"target","S","Some of the babies are sleeping. ",NA,"notalt",28,"couldalt"
22,"2",1,"CT","S","Some of the products have been sold.",1,"couldalt",9,"couldalt"
22,"2",0,"CF","N","Four dogs are running.",0,"notalt",50,"couldalt"
22,"2",0,"target","M","It is possible that the train will arrive on time.",NA,"couldalt",11,"couldalt"
22,"2",1,"target","N","Three monkeys are in the zoo. ",NA,"notalt",46,"couldalt"
22,"2",0,"CT","M","It is possible that Mary will attend the lecture.",1,"couldalt",17,"couldalt"
22,"2",0,"CF","N","Four birds are flying. ",0,"couldalt",23,"couldalt"
22,"2",0,"CF","S","Some of the photos have frames.",0,"notalt",31,"couldalt"
22,"2",0,"CF","S","All of the museums hosted exhibitions.",0,"couldalt",5,"couldalt"
22,"2",0,"target","S","Some of the assignments are finished.",NA,"couldalt",3,"couldalt"
22,"2",0,"target","M","It is possible that Mary will come to the party.",NA,"couldalt",10,"couldalt"
22,"2",1,"CT","M","It is possible that the girl will sing a song. ",1,"notalt",45,"couldalt"
22,"2",1,"CT","N","Five dogs are barking.",1,"couldalt",27,"couldalt"
22,"2",1,"CT","N","Three boys are playing cards. ",1,"notalt",52,"couldalt"
22,"2",1,"target","M","It is possible that Leon will turn up tonight. ",NA,"notalt",37,"couldalt"
22,"2",0,"CF","N","Five books are new. ",0,"couldalt",24,"couldalt"
22,"2",1,"CT","S","Some of the files have been deleted.",1,"couldalt",8,"couldalt"
22,"2",1,"CT","S","Some of the cats have been fed. ",1,"notalt",34,"couldalt"
22,"2",1,"CT","N","Five ducks are swimming. ",1,"notalt",54,"couldalt"
22,"2",1,"prac","","Peter lives in London.",1,"notalt",NA,"couldalt"
22,"2",1,"CT","S","Some of the cows have been milked.",1,"couldalt",7,"couldalt"
22,"2",1,"target","N","Four paintings are on the wall. ",NA,"notalt",47,"couldalt"
22,"2",0,"CF","S","All of the teachers attended the meeting. ",0,"notalt",32,"couldalt"
22,"2",1,"CT","M","It is possible that the shop will be open on Sunday.",1,"couldalt",16,"couldalt"
22,"2",1,"target","N","Five films are on show. ",NA,"couldalt",21,"couldalt"
22,"2",0,"target","N","Five brands are on discount.",NA,"notalt",48,"couldalt"
22,"2",0,"CF","N","Five pencils are sharp.",0,"notalt",51,"couldalt"
22,"2",0,"CF","N","Three photos are black-and-white. ",0,"notalt",49,"couldalt"
22,"2",1,"target","M","It is possible that the event will happen.",NA,"notalt",38,"couldalt"
22,"2",0,"CF","M","It is possible that Peter will pass the exam.",0,"couldalt",13,"couldalt"
22,"2",0,"target","N","Three horses are in the field.",NA,"couldalt",19,"couldalt"
